cell_id,gene_name,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,n_cells,mt,highly_variable,highly_variable_rank,means,variances,variances_norm
Tshz1,Tshz1,573,0.4236273,80.93178036605657,1273.0,573,False,True,1551.0,0.4236272878535774,1.4786026839422297,1.687035900130618
2310042E22Rik,2310042E22Rik,114,0.10515807,96.2063227953411,316.0,114,False,True,669.0,0.10515806988352745,0.46630161448628576,2.3639477660811683
Sema3c,Sema3c,577,1.0638936,80.79866888519135,3197.0,577,False,True,66.0,1.0638935108153078,24.30417191941499,7.648146196982613
Jam2,Jam2,418,0.2735441,86.08985024958402,822.0,418,False,True,924.0,0.27354409317803663,1.1082379345564923,2.075697277069494
Klhl13,Klhl13,733,0.62961733,75.60732113144759,1892.0,733,False,True,763.0,0.6296173044925125,3.1966591411119154,2.2341978136233713
Tnfaip8l3,Tnfaip8l3,426,0.36139768,85.82362728785358,1086.0,426,False,True,349.0,0.36139767054908484,2.4618915212329187,3.365847951046854
Atp1b2,Atp1b2,1341,1.6915141,55.37437603993345,5083.0,1341,False,True,688.0,1.691514143094842,13.975710256540907,2.334848086319366
Prkar2b,Prkar2b,900,0.9344426,70.04991680532446,2808.0,900,False,True,762.0,0.9344425956738769,5.621200130275637,2.234941000049819
Necab1,Necab1,952,1.8452579,68.31946755407654,5545.0,952,False,True,238.0,1.8452579034941763,28.134169415820978,4.106891069973453
Nr2f2,Nr2f2,836,1.0665557,72.17970049916805,3205.0,836,False,True,263.0,1.0665557404326123,11.817805876136267,3.87363909472762
Shisa9,Shisa9,644,0.5367721,78.56905158069884,1613.0,644,False,True,561.0,0.5367720465890183,3.0243630788454907,2.5949267833997127
Pcdh18,Pcdh18,193,0.14975041,93.57737104825291,450.0,193,False,True,919.0,0.1497504159733777,0.5860893185126425,2.079368071711578
Agtr2,Agtr2,17,0.009317803,99.43427620632279,28.0,17,False,True,1345.0,0.009317803660565723,0.025878529126998718,1.779491197877151
Cxcl14,Cxcl14,434,1.5454243,85.55740432612313,4644.0,434,False,True,18.0,1.545424292845258,65.23470358988925,12.373439757714495
Nacc2,Nacc2,785,0.6642263,73.87687188019967,1996.0,785,False,True,864.0,0.6642262895174709,3.279695181798672,2.129042169348433
Cntnap2,Cntnap2,1190,1.2202995,60.39933444259567,3667.0,1190,False,True,871.0,1.2202995008319468,7.862237593358528,2.1207050581292086
Asic4,Asic4,89,0.06389351,97.03826955074875,192.0,89,False,True,862.0,0.06389351081530782,0.2502438235430957,2.1300872200927765
